ciudad,pais,region,fecha,temp_max_c,temp_min_c,rango_termico,precipitacion_mm,viento_max_kmh,condicion
El Cairo,Egipto,Africa,2026-09-01,35.7,22.9,12.8,0.0,11.6,Seco
El Cairo,Egipto,Africa,2026-09-02,35.6,23.7,11.9,0.0,14.0,Seco
El Cairo,Egipto,Africa,2026-09-03,36.5,23.2,13.3,0.0,13.6,Seco
El Cairo,Egipto,Africa,2026-09-04,36.5,23.7,12.8,0.0,10.5,Seco
El Cairo,Egipto,Africa,2026-09-05,36.5,23.1,13.4,0.0,13.7,Seco
El Cairo,Egipto,Africa,2026-09-06,35.5,23.2,12.3,0.0,13.6,Seco
El Cairo,Egipto,Africa,2026-09-07,38.0,23.1,14.9,0.0,13.3,Seco
Nairobi,Kenia,Africa,2026-09-01,23.1,14.0,9.1,1.9,11.3,Lluvioso
Nairobi,Kenia,Africa,2026-09-02,26.4,14.9,11.5,1.1,14.4,Lluvioso
Nairobi,Kenia,Africa,2026-09-03,27.1,14.2,12.9,0.1,16.4,Seco
Nairobi,Kenia,Africa,2026-09-04,27.7,12.4,15.3,0.3,14.3,Seco
Nairobi,Kenia,Africa,2026-09-05,28.6,13.4,15.2,0.0,16.4,Seco
Nairobi,Kenia,Africa,2026-09-06,29.1,13.3,15.8,0.0,15.6,Seco
Nairobi,Kenia,Africa,2026-09-07,28.9,15.3,13.6,0.6,9.4,Seco
Pekin,China,Asia,2026-09-01,28.9,19.8,9.1,0.0,8.7,Seco
Pekin,China,Asia,2026-09-02,30.1,18.9,11.2,0.0,9.3,Seco
Pekin,China,Asia,2026-09-03,32.2,20.2,12.0,0.0,9.9,Seco
Pekin,China,Asia,2026-09-04,32.1,20.5,11.6,0.0,8.3,Seco
Pekin,China,Asia,2026-09-05,31.9,23.0,8.9,0.0,9.4,Seco
Pekin,China,Asia,2026-09-06,32.0,22.7,9.3,0.0,10.1,Seco
Pekin,China,Asia,2026-09-07,30.1,22.1,8.0,0.0,7.5,Seco
Dubai,Emiratos Arabes Unidos,Asia,2026-09-01,39.4,29.7,9.7,0.0,16.3,Seco
Dubai,Emiratos Arabes Unidos,Asia,2026-09-02,39.3,30.6,8.7,0.0,15.5,Seco
Dubai,Emiratos Arabes Unidos,Asia,2026-09-03,41.1,31.5,9.6,0.0,17.9,Seco
Dubai,Emiratos Arabes Unidos,Asia,2026-09-04,41.4,30.6,10.8,0.0,17.3,Seco
Dubai,Emiratos Arabes Unidos,Asia,2026-09-05,40.8,32.5,8.3,0.0,17.2,Seco
Dubai,Emiratos Arabes Unidos,Asia,2026-09-06,40.9,31.5,9.4,0.0,15.8,Seco
Dubai,Emiratos Arabes Unidos,Asia,2026-09-07,40.2,31.5,8.7,0.0,15.9,Seco
